evNum   picoTimeMs	adcAtEvent	rateOverall
1	554     97	1.81
2   1305    70  1.53
355	288456	46	1.23
356	288942	104	1.23
357	291383	70	1.23
358	292796	57	1.22
359	294883	91	1.22
360	296051	51	1.22
361	298820	46	1.21
362	299164	51	1.21
363	299456	33	1.21
364	302502	33	1.20
365	303261	215	1.20
366	304031	40	1.20
367	305690	33	1.20
368	306427	32	1.20
369	307128	87	1.20
370	311206	53	1.19
371	311512	112	1.19
372	311595	178	1.19
373	312903	48	1.19
374	314209	44	1.19
375	314343	45	1.19
376	314448	56	1.20
377	315094	32	1.20
378	316603	36	1.19
379	318313	73	1.19
380	318349	37	1.19
381	320443	70	1.19
382	321098	42	1.19
383	321238	55	1.19
384	323329	39	1.19
385	324021	47	1.19
386	324226	38	1.19
387	324568	42	1.19
388	324636	38	1.20
389	325233	32	1.20
390	326407	35	1.19
391	326778	49	1.20
392	330925	91	1.18
393	331212	75	1.19
394	331495	78	1.19
395	332236	40	1.19
396	332308	99	1.19
397	333101	176	1.19
398	333555	78	1.19
399	333856	190	1.20
400	336789	40	1.19
401	336927	40	1.19
402	337287	64	1.19
403	337991	31	1.19
404	338558	33	1.19
405	339987	32	1.19
406	341455	31	1.19
407	342125	60	1.19
408	342376	33	1.19
409	343920	149	1.19
410	344763	102	1.19
411	348324	38	1.18
412	349399	78	1.18
413	350169	102	1.18
414	350206	32	1.18
415	352447	37	1.18
416	354055	38	1.17
417	354671	41	1.18
418	355390	69	1.18
419	356436	65	1.18
420	357852	68	1.17
421	358807	35	1.17
422	359653	38	1.17
423	359689	35	1.18
424	360650	90	1.18
425	362408	62	1.17
426	362504	130	1.18
427	363123	68	1.18
428	364366	40	1.17
429	364414	30	1.18
430	366122	62	1.17
431	366557	138	1.18
432	368049	39	1.17
433	368237	32	1.18
434	368326	47	1.18
435	368355	64	1.18
436	368588	35	1.18
437	368950	56	1.18
438	370021	32	1.18
439	371221	72	1.18
440	373338	43	1.18
441	375239	40	1.18
442	375254	48	1.18
443	376599	39	1.18
444	376697	53	1.18
445	377234	35	1.18
446	377792	36	1.18
447	377825	47	1.18
448	378571	102	1.18
449	378802	65	1.19
450	379665	31	1.19
451	379740	40	1.19
452	380226	32	1.19
453	380916	41	1.19
454	382297	63	1.19
455	382769	37	1.19
456	383665	45	1.19
457	384311	37	1.19
458	386098	62	1.19
459	386343	42	1.19
460	386482	36	1.19
461	388738	70	1.19
462	388960	48	1.19
463	391533	42	1.18
464	393272	30	1.18
465	393286	37	1.18
466	394358	71	1.18
467	394748	40	1.18
468	395376	44	1.18
469	396455	102	1.18
470	396633	34	1.18
471	396775	36	1.19
472	397172	34	1.19
473	398011	37	1.19
474	398636	30	1.19
475	398836	55	1.19
476	400896	34	1.19
477	400962	38	1.19
478	401336	34	1.19
479	402156	30	1.19
480	404356	30	1.19
481	405358	30	1.19
482	406065	49	1.19
483	409073	60	1.18
484	409785	99	1.18
485	410713	48	1.18
486	411386	102	1.18
487	411913	42	1.18
488	413060	63	1.18
489	413674	132	1.18
490	414144	31	1.18
491	414265	45	1.19
492	415650	53	1.18
493	415747	50	1.19
494	416283	31	1.19
495	417024	30	1.19
496	417365	40	1.19
497	418675	55	1.19
498	419331	46	1.19
499	419772	142	1.19
500	420304	30	1.19
501	420327	30	1.19
502	420701	33	1.19
503	421431	162	1.19
504	421785	33	1.19
505	422369	121	1.20
506	424547	30	1.19
507	425063	46	1.19
508	425288	116	1.19
509	428050	179	1.19
510	428298	30	1.19
511	428947	51	1.19
512	429475	40	1.19
513	429548	124	1.19
514	429795	56	1.20
515	430629	44	1.20
516	430759	39	1.20
517	431651	51	1.20
518	431749	47	1.20
519	433032	39	1.20
520	433314	33	1.20
521	433599	73	1.20
522	434075	56	1.20
523	434927	56	1.20
524	434993	32	1.20
525	435053	136	1.21
526	435348	220	1.21
527	435630	49	1.21
528	435826	31	1.21
529	435851	31	1.21
530	437515	62	1.21
531	437980	99	1.21
532	438498	91	1.21
533	439181	33	1.21
534	439512	100	1.21
535	441461	44	1.21
536	443418	102	1.21
537	446994	40	1.20
538	447172	40	1.20
539	447776	35	1.20
540	449934	96	1.20
541	449991	34	1.20
542	450836	32	1.20
543	451517	34	1.20
544	452991	159	1.20
545	454780	77	1.20
546	455344	76	1.20
547	456513	30	1.20
548	456880	123	1.20
549	457095	30	1.20
550	457839	57	1.20
551	458058	96	1.20
552	458724	33	1.20
553	459433	133	1.20
554	459513	36	1.21
555	459972	40	1.21
556	460402	89	1.21
557	460458	35	1.21
558	460656	38	1.21
559	460931	36	1.21
560	462605	114	1.21
561	463204	41	1.21
562	465953	45	1.21
563	466174	34	1.21
564	466795	35	1.21
565	467782	66	1.21
566	467944	42	1.21
567	470015	34	1.21
568	470530	33	1.21
569	474153	37	1.20
570	476563	34	1.20
571	477770	143	1.20
572	478214	31	1.20
573	479590	37	1.19
574	479756	47	1.20
575	480380	49	1.20
576	480572	148	1.20
577	482199	34	1.20
578	482378	40	1.20
579	482655	43	1.20
580	483406	50	1.20
581	483539	36	1.20
582	483672	34	1.20
583	485484	58	1.20
584	485818	51	1.20
585	486002	239	1.20
586	486109	123	1.21
587	488240	216	1.20
588	489095	45	1.20
589	489765	88	1.20
590	490046	44	1.20
591	490208	52	1.21
592	490243	39	1.21
593	490408	33	1.21
594	491101	30	1.21
595	491774	37	1.21
596	493866	43	1.21
597	494013	54	1.21
598	494358	71	1.21
599	494471	43	1.21
600	494767	54	1.21
601	496066	170	1.21
602	497658	42	1.21
603	498476	36	1.21
604	498509	378	1.21
605	498711	33	1.21
606	499273	244	1.21
607	499466	89	1.22
608	500580	54	1.21
609	500672	33	1.22
610	500872	94	1.22
611	501842	33	1.22
612	503192	36	1.22
613	504723	45	1.21
614	505903	42	1.21
615	506360	152	1.21
616	506766	30	1.22
617	506906	36	1.22
618	506999	53	1.22
619	507724	35	1.22
620	510072	33	1.22
621	511658	73	1.21
622	511781	52	1.22
623	512133	38	1.22
624	513889	44	1.21
625	515963	37	1.21
626	515994	49	1.21
627	516579	39	1.21
628	516917	33	1.21
629	517437	33	1.22
630	518074	34	1.22
631	518419	54	1.22
632	518942	103	1.22
633	520079	100	1.22
634	520346	35	1.22
635	520777	48	1.22
636	521622	55	1.22
637	524890	56	1.21
638	526449	38	1.21
639	527281	39	1.21
640	527416	31	1.21
641	527482	36	1.22
642	528367	66	1.22
643	529208	76	1.22
644	529235	85	1.22
645	529382	32	1.22
646	530245	92	1.22
647	533519	30	1.21
648	534132	33	1.21
649	535066	33	1.21
650	537157	36	1.21
651	537231	44	1.21
652	537867	46	1.21
653	541114	91	1.21
654	541311	65	1.21
655	541371	51	1.21
656	543564	37	1.21
657	544340	40	1.21
658	546551	31	1.20
659	546641	40	1.21
660	546761	31	1.21
661	549314	41	1.20
662	549988	66	1.20
663	550204	36	1.21
664	550248	55	1.21
665	550670	76	1.21
666	550907	128	1.21
667	551250	43	1.21
668	553187	35	1.21
669	553391	57	1.21
670	554121	41	1.21
671	554151	35	1.21
672	554650	37	1.21
673	555384	34	1.21
674	555455	87	1.21
675	555885	83	1.21
676	557073	32	1.21
677	557849	40	1.21
678	558198	112	1.21
679	558218	41	1.22
680	558289	41	1.22
681	558871	203	1.22
682	559374	36	1.22
683	560729	48	1.22
684	561236	68	1.22
685	561331	39	1.22
686	562591	83	1.22
687	565741	49	1.21
688	565908	38	1.22
689	567861	33	1.21
690	568941	67	1.21
691	570918	37	1.21
692	572151	83	1.21
693	572242	44	1.21
694	575232	49	1.21
695	576592	118	1.21
696	576718	76	1.21
697	576830	36	1.21
698	577782	84	1.21
699	578513	60	1.21
700	579973	46	1.21
701	581431	38	1.21
702	582186	39	1.21
703	582967	32	1.21
704	583466	99	1.21
705	583954	38	1.21
706	584157	39	1.21
707	584881	93	1.21
708	586967	40	1.21
709	588252	73	1.21
710	588983	46	1.21
711	589127	69	1.21
712	590586	35	1.21
713	591555	109	1.21
714	591603	43	1.21
715	591967	81	1.21
716	592036	123	1.21
717	592118	62	1.21
718	592343	43	1.21
719	592431	136	1.21
720	593107	70	1.21
721	594614	31	1.21
722	594908	47	1.21
723	595202	162	1.21
724	595419	34	1.22
725	595551	46	1.22
726	595869	65	1.22
727	596347	39	1.22
728	597032	31	1.22
729	597150	64	1.22
730	597274	92	1.22
731	597683	37	1.22
732	597973	47	1.22
733	598489	54	1.22
734	601394	54	1.22
735	601585	67	1.22
736	602209	49	1.22
737	602893	80	1.22
738	604322	86	1.22
739	604831	46	1.22
740	604943	33	1.22
741	605244	51	1.22
742	606909	288	1.22
743	607104	37	1.22
744	608393	41	1.22
745	609948	79	1.22
746	609966	55	1.22
747	610882	42	1.22
748	611317	49	1.22
749	611445	38	1.22
750	612010	70	1.23
751	613569	46	1.22
752	615495	107	1.22
753	616627	51	1.22
754	616859	31	1.22
755	617119	136	1.22
756	617154	62	1.22
757	618772	75	1.22
758	619611	48	1.22
759	619754	54	1.22
760	620023	50	1.23
761	621910	30	1.22
762	622454	32	1.22
763	623725	31	1.22
764	624300	74	1.22
765	625846	86	1.22
766	626522	61	1.22
767	626963	78	1.22
768	628524	135	1.22
769	630197	193	1.22
770	631709	54	1.22
771	631885	111	1.22
772	633282	34	1.22
773	634595	41	1.22
774	635657	34	1.22
775	636257	42	1.22
776	636521	36	1.22
777	638584	64	1.22
778	640532	102	1.21
779	641299	144	1.21
780	642254	34	1.21
781	642852	92	1.21
782	643389	34	1.22
783	643539	38	1.22
784	643741	59	1.22
785	644205	36	1.22
786	644765	37	1.22
787	645378	102	1.22
788	647365	63	1.22
789	652274	94	1.21
790	652599	94	1.21
791	654152	44	1.21
792	654426	53	1.21
793	655804	50	1.21
794	657954	54	1.21
795	659703	48	1.21
796	659880	31	1.21
797	660794	85	1.21
798	661024	98	1.21
799	661296	33	1.21
800	661341	60	1.21
801	661493	31	1.21
802	661688	167	1.21
803	661703	45	1.21
804	662779	45	1.21
805	662802	30	1.21
806	663365	54	1.22
807	663542	40	1.22
808	663657	32	1.22
809	663788	85	1.22
810	664556	71	1.22
