evNum	picoTimeMs	adcAtEvent	rateOverall 
523	464899	32	1.12
524	464997	33	1.13
525	465618	34	1.13
526	466015	39	1.13
527	467570	138	1.13
528	467930	76	1.13
529	468553	51	1.13
530	469219	92	1.13
531	470630	34	1.13
532	471131	48	1.13
533	471411	56	1.13
534	472316	33	1.13
535	472531	35	1.13
536	474903	68	1.13
537	474948	45	1.13
538	477695	52	1.13
539	478192	36	1.13
540	478323	76	1.13
541	478419	164	1.13
542	478470	32	1.13
543	479592	84	1.13
544	479765	33	1.13
545	480879	85	1.13
546	484322	84	1.13
547	484872	48	1.13
548	484950	70	1.13
549	485419	44	1.13
550	485827	85	1.13
551	488396	76	1.13
552	488452	62	1.13
553	488676	82	1.13
554	489674	35	1.13
555	490388	47	1.13
556	490524	48	1.13
557	492509	32	1.13
558	493496	165	1.13
559	495646	88	1.13
560	495990	61	1.13
561	496648	68	1.13
562	496971	69	1.13
563	497184	32	1.13
564	498322	38	1.13
565	500263	30	1.13
566	501094	110	1.13
567	501237	30	1.13
568	501930	69	1.13
569	503945	220	1.13
570	504406	67	1.13
571	504781	172	1.13
572	504943	31	1.13
573	505283	47	1.13
574	505479	40	1.14
575	506115	44	1.14
576	507998	214	1.13
577	508975	59	1.13
578	509123	45	1.14
579	509539	31	1.14
580	510177	30	1.14
581	511760	41	1.14
582	511969	57	1.14
583	513404	64	1.14
584	513752	70	1.14
585	517114	48	1.13
586	517730	48	1.13
587	518135	32	1.13
588	519191	32	1.13
589	519396	30	1.13
590	521419	53	1.13
591	521459	40	1.13
592	521897	44	1.13
593	522474	47	1.13
594	524701	104	1.13
595	524760	135	1.13
596	526028	60	1.13
597	528144	45	1.13
598	529163	106	1.13
599	530311	66	1.13
600	532801	41	1.13
601	532955	77	1.13
602	533241	59	1.13
603	533709	71	1.13
604	533741	153	1.13
605	534002	30	1.13
606	537331	85	1.13
607	538033	268	1.13
608	538576	141	1.13
609	538759	58	1.13
610	539642	61	1.13
611	540071	129	1.13
612	540792	49	1.13
613	541677	45	1.13
614	541892	88	1.13
615	542351	31	1.13
616	542727	129	1.14
617	543236	31	1.14
618	543676	62	1.14
619	544046	130	1.14
620	545573	53	1.14
621	545644	36	1.14
622	545784	50	1.14
623	548168	38	1.14
624	549845	172	1.13
625	550563	37	1.14
626	552149	86	1.13
627	552235	70	1.14
628	552298	39	1.14
629	554384	39	1.13
630	554787	44	1.14
631	554903	36	1.14
632	555147	109	1.14
