evNum	picoTimeMs	adcAtEvent	rateOverall
499	245285	24	2.03
500	245705	26	2.03
501	245980	24	2.04
502	246046	77	2.04
503	246697	34	2.04
504	248510	29	2.03
505	248527	21	2.03
506	248983	32	2.03
507	249171	22	2.03
508	250006	28	2.03
509	250562	24	2.03
510	251407	91	2.03
511	251787	85	2.03
512	252420	176	2.03
513	253302	122	2.03
514	253388	55	2.03
515	253501	40	2.03
516	254393	37	2.03
517	256394	293	2.02
518	256777	61	2.02
519	257464	22	2.02
520	257575	20	2.02
521	257817	97	2.02
522	258691	24	2.02
523	258800	25	2.02
524	259663	46	2.02
525	259699	39	2.02
526	261208	22	2.01
527	261263	85	2.02
528	261581	179	2.02
529	262057	61	2.02
530	262327	24	2.02
531	262565	26	2.02
532	262766	33	2.02
533	262848	26	2.03
534	263256	26	2.03
535	264169	31	2.03
536	264644	22	2.03
537	264688	28	2.03
538	264912	26	2.03
539	265395	52	2.03
540	266478	45	2.03
541	266519	26	2.03
542	266559	44	2.03
543	267076	30	2.03
544	267497	26	2.03
545	268061	63	2.03
546	269040	61	2.03
547	269505	21	2.03
548	269623	112	2.03
549	271039	26	2.03
550	271338	41	2.03
551	272933	59	2.02
552	273894	101	2.02
553	274182	22	2.02
554	275518	47	2.01
555	275533	66	2.01
556	276825	22	2.01
557	276935	47	2.01
558	279025	21	2.00
559	279068	20	2.00
560	279380	59	2.00
561	280111	35	2.00
562	280731	25	2.00
563	283019	20	1.99
564	283197	20	1.99
565	283572	21	1.99
566	283610	24	2.00
567	284993	29	1.99
568	286842	66	1.98
569	287918	26	1.98
570	287957	48	1.98
571	288221	40	1.98
572	289433	45	1.98
573	289630	23	1.98
574	289679	29	1.98
575	290809	20	1.98
576	292666	29	1.97
577	292926	29	1.97
578	292982	20	1.97
579	293257	24	1.97
580	294716	50	1.97
581	294770	20	1.97
582	295798	38	1.97
583	295988	26	1.97
584	296590	24	1.97
585	296625	20	1.97
586	297381	27	1.97
587	298168	22	1.97
588	298504	70	1.97
589	298909	28	1.97
590	298928	29	1.97
591	299402	204	1.97
592	299774	22	1.97
593	300388	22	1.97
594	300711	38	1.98
595	301428	31	1.97
596	301737	23	1.98
597	302611	87	1.97
598	302648	35	1.98
599	303296	53	1.97
600	303486	26	1.98
601	304420	107	1.97
602	305410	52	1.97
603	306334	38	1.97
604	306684	27	1.97
605	307070	23	1.97
606	308361	36	1.97
607	308745	66	1.97
608	309175	90	1.97
609	309927	49	1.96
610	310051	32	1.97
611	310357	25	1.97
612	310380	52	1.97
613	312507	20	1.96
614	312966	20	1.96
615	314757	20	1.95
616	314776	24	1.96
617	314866	22	1.96
618	315300	20	1.96
619	315656	46	1.96
620	315675	29	1.96
621	315695	57	1.97
622	317021	30	1.96
623	317288	20	1.96
624	317302	39	1.97
625	317316	29	1.97
626	317389	71	1.97
627	317986	40	1.97
628	318068	23	1.97
629	319170	22	1.97
630	319205	31	1.97
631	319612	43	1.97
