evNum	picoTimeMs	adcAtEvent	rateOverall
573	299770	35	1.91
574	300248	27	1.91
575	301017	28	1.91
576	301389	26	1.91
577	301480	40	1.91
578	302253	28	1.91
579	303796	29	1.91
580	304810	24	1.90
581	304899	60	1.91
582	304969	20	1.91
583	305121	26	1.91
584	306050	24	1.91
585	306447	35	1.91
586	307106	214	1.91
587	308889	24	1.90
588	309086	37	1.90
589	309695	31	1.90
590	310225	23	1.90
591	310800	30	1.90
592	310826	39	1.90
593	310948	79	1.91
594	311102	22	1.91
595	311129	28	1.91
596	311561	41	1.91
597	314497	23	1.90
598	315031	26	1.90
599	315207	41	1.90
600	315738	21	1.90
601	315970	66	1.90
602	316611	28	1.90
603	316829	22	1.90
604	317090	33	1.90
605	317140	214	1.91
606	319307	22	1.90
607	320483	25	1.89
608	321161	24	1.89
609	321396	24	1.89
610	321501	24	1.90
611	321601	24	1.90
612	321785	38	1.90
613	321895	109	1.90
614	322363	25	1.90
615	323353	27	1.90
616	323442	30	1.90
617	324027	100	1.90
618	324594	32	1.90
619	324687	29	1.91
620	324701	22	1.91
621	324798	39	1.91
622	325226	26	1.91
623	325569	35	1.91
624	325838	33	1.92
625	327407	72	1.91
626	328185	59	1.91
627	328432	26	1.91
628	329320	36	1.91
629	329448	21	1.91
630	330262	24	1.91
631	330440	30	1.91
632	330781	91	1.91
633	332504	31	1.90
634	333555	26	1.90
635	333853	111	1.90
636	334338	32	1.90
637	334598	28	1.90
638	334997	131	1.90
639	335525	21	1.90
640	336600	26	1.90
641	336625	21	1.90
642	337503	26	1.90
643	337988	28	1.90
644	338615	30	1.90
645	338739	68	1.90
646	338942	41	1.91
647	340279	101	1.90
648	340693	47	1.90
649	341012	108	1.90
650	341336	38	1.90
651	341454	73	1.91
652	341546	21	1.91
653	341582	20	1.91
654	342091	32	1.91
655	342484	32	1.91
656	342508	26	1.92
657	342526	25	1.92
658	342672	21	1.92
659	345227	191	1.91
660	347145	71	1.90
661	347307	39	1.90
662	347715	57	1.90
663	348647	37	1.90
664	349488	34	1.90
665	350093	252	1.90
666	350297	20	1.90
667	350538	65	1.90
668	350980	25	1.90
669	351127	34	1.91
670	351232	60	1.91
671	351848	25	1.91
672	351893	48	1.91
673	351995	24	1.91
674	352742	36	1.91
675	352776	30	1.91
676	353188	59	1.91
677	353734	74	1.91
678	354298	38	1.91
679	355110	34	1.91
680	355142	37	1.91
681	356014	34	1.91
682	356126	22	1.92
683	356442	28	1.92
684	356781	112	1.92
685	357250	27	1.92
686	357356	38	1.92
687	357630	35	1.92
688	358808	44	1.92
689	359276	25	1.92
690	359545	24	1.92
691	359801	60	1.92
692	359880	40	1.92
693	362016	91	1.91
694	364226	42	1.91
695	364937	69	1.90
696	365043	21	1.91
697	365088	34	1.91
698	365141	24	1.91
699	365302	37	1.91
700	365333	21	1.92
701	365557	54	1.92
702	366833	20	1.91
703	366849	21	1.92
704	367106	52	1.92
705	367421	56	1.92
706	367870	26	1.92
707	368176	24	1.92
708	368211	68	1.92
709	368325	23	1.92
710	368578	34	1.93
711	369217	23	1.93
712	369401	36	1.93
713	369583	23	1.93
714	370873	24	1.93
715	370962	26	1.93
716	371372	70	1.93
717	371419	39	1.93
718	371575	29	1.93
719	372431	29	1.93
720	372669	66	1.93
721	372961	40	1.93
722	373134	20	1.93
723	373470	42	1.94
724	375177	28	1.93
725	375254	42	1.93
726	375662	22	1.93
727	375718	32	1.93
728	377088	26	1.93
729	377590	26	1.93
730	377901	32	1.93
731	378463	26	1.93
732	378499	86	1.93
733	378678	29	1.94
734	379396	20	1.93
735	380677	23	1.93
736	380951	24	1.93
737	381532	34	1.93
738	381770	31	1.93
739	382307	25	1.93
740	385497	68	1.92
741	385754	20	1.92
742	385938	83	1.92
743	386150	23	1.92
744	386359	43	1.93
745	386794	22	1.93
746	386936	220	1.93
747	387232	42	1.93
748	387301	30	1.93
749	387438	26	1.93
750	387797	42	1.93
751	389561	21	1.93
752	389894	40	1.93
753	390423	25	1.93
754	390494	53	1.93
755	390790	28	1.93
756	391153	32	1.93
757	391282	83	1.93
758	391304	58	1.94
759	391766	49	1.94
